,name,qid,measure,value
60814,Advanced BM25,10514,ndcg_cut.10,0.8486
60815,Advanced BM25,10514,ndcg_cut.100,0.8903
67384,Advanced BM25,105346,map,0.6906
67385,Advanced BM25,105346,recip_rank,1.0
67386,Advanced BM25,105346,P.5,0.6
67387,Advanced BM25,105346,P.10,0.6
67388,Advanced BM25,105346,P.100,0.06
67389,Advanced BM25,105346,ndcg_cut.5,0.4216
67390,Advanced BM25,105346,ndcg_cut.10,0.7044
67391,Advanced BM25,105346,ndcg_cut.100,0.7044
60880,Advanced BM25,10559,map,1.0
60881,Advanced BM25,10559,recip_rank,1.0
60882,Advanced BM25,10559,P.5,1.0
60883,Advanced BM25,10559,P.10,0.5
60884,Advanced BM25,10559,P.100,0.05
60885,Advanced BM25,10559,ndcg_cut.5,0.8447
60886,Advanced BM25,10559,ndcg_cut.10,0.8447
60887,Advanced BM25,10559,ndcg_cut.100,0.8447
60888,Advanced BM25,10561,map,0.1867
60889,Advanced BM25,10561,recip_rank,0.3333
60890,Advanced BM25,10561,P.5,0.4
60891,Advanced BM25,10561,P.10,0.2
60892,Advanced BM25,10561,P.100,0.03
60893,Advanced BM25,10561,ndcg_cut.5,0.2312
60894,Advanced BM25,10561,ndcg_cut.10,0.2312
60895,Advanced BM25,10561,ndcg_cut.100,0.3219
67656,Advanced BM25,105625,map,0.6834
67657,Advanced BM25,105625,recip_rank,1.0
67658,Advanced BM25,105625,P.5,0.8
67659,Advanced BM25,105625,P.10,0.6
67660,Advanced BM25,105625,P.100,0.08
67661,Advanced BM25,105625,ndcg_cut.5,0.704
67662,Advanced BM25,105625,ndcg_cut.10,0.7132
67663,Advanced BM25,105625,ndcg_cut.100,0.79
60904,Advanced BM25,10568,map,0.9103
60905,Advanced BM25,10568,recip_rank,1.0
60906,Advanced BM25,10568,P.5,1.0
60907,Advanced BM25,10568,P.10,0.5
60908,Advanced BM25,10568,P.100,0.06
60909,Advanced BM25,10568,ndcg_cut.5,0.8375
60910,Advanced BM25,10568,ndcg_cut.10,0.7771
60911,Advanced BM25,10568,ndcg_cut.100,0.8303
67808,Advanced BM25,105733,map,1.0
67809,Advanced BM25,105733,recip_rank,1.0
67810,Advanced BM25,105733,P.5,1.0
67811,Advanced BM25,105733,P.10,0.5
67812,Advanced BM25,105733,P.100,0.05
67813,Advanced BM25,105733,ndcg_cut.5,0.8447
67814,Advanced BM25,105733,ndcg_cut.10,0.8447
67815,Advanced BM25,105733,ndcg_cut.100,0.8447
67888,Advanced BM25,105813,map,0.8242
67889,Advanced BM25,105813,recip_rank,1.0
